Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2014-11-30 00:00:00	373.657	374.316	370.004	371.74	179.4	66624.17	371.38
2014-11-30 01:00:00	371.487	375	370.896	374.81	95.87	35800.21	373.43
2014-11-30 02:00:00	374.81	374.999	372.845	372.847	60.43	22606.64	374.09
2014-11-30 03:00:00	372.85	375.776	372.85	374.367	48.04	18009.38	374.87
2014-11-30 04:00:00	374.056	375.55	373.37	375.4	31.53	11805.93	374.44
2014-11-30 05:00:00	374.5	375.4	373.001	374.134	38.04	14225.38	373.93
2014-11-30 06:00:00	375	375.776	373.109	374.799	44.12	16528.91	374.61
2014-11-30 07:00:00	374.526	375	371.56	373.11	50.71	18948.2	373.66
2014-11-30 08:00:00	372.11	373.122	371	372	107.72	40040.31	371.7
2014-11-30 09:00:00	372.901	377.23	372	377.23	297.49	111770.07	375.71
2014-11-30 10:00:00	377.25	378	372.29	375.729	265.25	99890.45	376.59
2014-11-30 11:00:00	375.696	377	374	374.629	151.19	56651.41	374.71
2014-11-30 12:00:00	375.061	376.9	374.12	374.12	56.68	21275.41	375.34
2014-11-30 13:00:00	373.974	375	373	375	64.82	24229.3	373.82
2014-11-30 14:00:00	375	375	373.001	373.672	79.81	29855.05	374.07
2014-11-30 15:00:00	373.501	374.839	373	373	100.53	37552.24	373.56
2014-11-30 16:00:00	373	374.128	370.977	372.944	335.04	124705.92	372.21
2014-11-30 17:00:00	373	375.318	372.9	373.362	54.43	20345.14	373.76
2014-11-30 18:00:00	374.273	374.911	372.684	372.877	31.21	11658.37	373.53
2014-11-30 19:00:00	372.877	374.783	372.877	374.163	48.13	17974.57	373.47
2014-11-30 20:00:00	374.163	374.163	371.543	371.911	181.54	67688.74	372.86
2014-11-30 21:00:00	373.1	374.02	371.788	373.99	64.76	24137.12	372.74
2014-11-30 22:00:00	373.337	376	373.25	374.624	85.74	32135.95	374.79
2014-11-30 23:00:00	374.624	376.112	372	374.386	82.97	31058.81	374.36
2014-12-01 00:00:00	374.38	375.888	373.798	374	27.75	10407.23	375.05
2014-12-01 01:00:00	373.876	375.02	373.01	373.875	44.44	16649.99	374.66
2014-12-01 02:00:00	373.875	376.466	373.009	376.251	227.91	85491.7	375.11
2014-12-01 03:00:00	376.481	376.989	375.5	376.534	89.51	33673.55	376.22
2014-12-01 04:00:00	376.533	377	375.163	375.401	63.69	23954.99	376.11
2014-12-01 05:00:00	375.401	380.007	375	379	271.77	102952.74	378.83
2014-12-01 06:00:00	378.97	382.5	378.434	381	311.81	118783.44	380.95
2014-12-01 07:00:00	381.017	382	378.824	380	436.29	165777.17	379.97
2014-12-01 08:00:00	379.606	380	375.474	376.837	222.86	84038.31	377.1
2014-12-01 09:00:00	376.837	376.837	375	375.026	258.34	97017.38	375.53
2014-12-01 10:00:00	375.027	376.837	375.025	375.88	127.83	48042.76	375.84
2014-12-01 11:00:00	375.88	378.43	375.592	376.605	262.63	98846.8	376.37
2014-12-01 12:00:00	377.046	378.7	376.512	378.687	123.26	46515.46	377.37
2014-12-01 13:00:00	378.686	380.5	377.799	378	208.76	79215.2	379.46
2014-12-01 14:00:00	378.956	378.956	374.971	377.117	404.44	152204.26	376.33
2014-12-01 15:00:00	377.1	378	375	375.205	130.29	49112.65	376.94
2014-12-01 16:00:00	375.851	378.8	375.85	378.5	222.14	83902.41	377.71
2014-12-01 17:00:00	378.499	378.5	377	377.633	63.17	23896.6	378.31
2014-12-01 18:00:00	377.522	377.633	373	375.892	284.94	106872.67	375.08
2014-12-01 19:00:00	375.325	377.838	373.109	375.5	341.08	128311.61	376.19
2014-12-01 20:00:00	375.5	376.996	375	376.39	150.67	56569.47	375.44
2014-12-01 21:00:00	375.036	377.753	375.005	377.322	50.95	19164.46	376.18
2014-12-01 22:00:00	377.642	379	376.26	378	111.1	41982.93	377.88
2014-12-01 23:00:00	377.575	379	376.53	377.047	50.71	19162.7	377.89
2014-12-02 00:00:00	376.683	378.253	376.201	377.284	125.5	47283.33	376.77
2014-12-02 01:00:00	377.283	378.911	376.4	376.968	137.96	52021.33	377.07
2014-12-02 02:00:00	376.874	377.844	376.2	376.302	128.74	48503.9	376.76
2014-12-02 03:00:00	377	378.07	376.202	376.202	85.74	32284.26	376.54
2014-12-02 04:00:00	377.728	379	376.202	377.484	125	47232.66	377.85
2014-12-02 05:00:00	378.5	379.33	377.486	378.189	118.52	44892.31	378.79
2014-12-02 06:00:00	378.198	379.779	378	378.988	62.1	23506.87	378.52
2014-12-02 07:00:00	378.988	379	376.538	377.49	136.75	51677.28	377.9
2014-12-02 08:00:00	377.34	378.488	375.608	377.999	207.64	78250.99	376.86
2014-12-02 09:00:00	377.998	381.154	376.673	380	583.4	221701.23	380.01
2014-12-02 10:00:00	380.82	380.887	377	379.5	207.58	78621.86	378.76
2014-12-02 11:00:00	379.5	379.5	375.75	377.033	179.26	67610.8	377.16
2014-12-02 12:00:00	378.695	380	377.036	378.11	274.04	103948.98	379.33
2014-12-02 13:00:00	379.899	380.715	378.111	380.378	78.71	29887.02	379.71
2014-12-02 14:00:00	380.378	381.384	378.745	380	137.75	52350.62	380.04
2014-12-02 15:00:00	380	382	378.5	380.958	238.81	90899.12	380.63
2014-12-02 16:00:00	380.01	382	379.548	381	163.95	62413.71	380.69
2014-12-02 17:00:00	381.5	381.919	379.489	379.741	126.76	48182.57	380.12
2014-12-02 18:00:00	379.741	380	374.977	378.5	312.44	117876.65	377.28
2014-12-02 19:00:00	378.998	378.999	372.88	376.804	867.82	325283.55	374.83
2014-12-02 20:00:00	376.804	378.002	372.1	373.855	269.03	100878.08	374.97
2014-12-02 21:00:00	373.854	376	373.535	373.73	147.21	55187.81	374.88
2014-12-02 22:00:00	374	375.081	372.54	375.081	222.49	83296.2	374.39
